SP_ID,oa_code,supgrp_cd,grp_cd
"5688",E00012120,H,H1
"5689",E00009334,F,F1
"5690",E00009598,E,E1
"5691",E00013932,E,E2
"5692",E00009337,E,E2
"5693",E00009519,B,B1
"5694",E00012123,H,H1
"5695",E00009518,E,E2
"5696",E00013935,D,D2
"5697",E00009336,B,B3
"5698",E00009599,E,E2
"5699",E00012122,H,H1
"5700",E00017339,C,C3
"5701",E00013934,B,B3
"5702",E00012124,H,H1
"5703",E00013936,E,E2
"5704",E00011473,A,A2
"5705",E00009890,E,E1
"5706",E00011470,A,A2
"5707",E00009331,D,D1
"5708",E00012121,H,H1
"5709",E00013933,B,B3
"5710",E00006190,G,G1
"5711",E00174899,F,F2
"5712",E00014155,D,D2
"5713",E00014157,B,B3
"5714",E00014154,B,B3
"5715",E00001444,A,A1
"5716",E00174894,D,D1
"5717",E00005315,H,H2
"5718",E00000310,A,A1
"5719",E00014153,E,E2
"5720",E00014150,B,B3
"5721",E00015141,H,H1
"5722",E00166866,E,E1
"5723",E00015968,E,E1
"5724",E00018956,C,C1
"5725",E00015140,H,H2
"5726",E00166861,G,G1
"5727",E00015143,A,A1
"5728",E00166860,C,C2
"5729",E00015969,E,E2
"5730",E00018957,C,C3
"5731",E00003342,H,H1
"5732",E00003343,F,F1
"5733",E00007730,G,G2
"5734",E00003346,A,A2
"5735",E00003347,A,A2
"5736",E00001393,C,C1
"5737",E00019634,A,A2
"5738",E00023721,D,D1
"5739",E00019637,A,A1
"5740",E00023662,F,F1
"5741",E00167169,B,B2
"5742",E00023663,F,F1
"5743",E00003660,A,A2
"5744",E00019689,E,E1
"5745",E00021711,D,D1
"5746",E00021718,D,D1
"5747",E00019638,H,H2
"5748",E00021778,G,G1
"5749",E00022722,E,E2
"5750",E00022727,C,C1
"5751",E00022724,E,E1
"5752",E00021773,G,G1
"5753",E00022726,C,C1
"5754",E00021775,G,G1
"5755",E00021383,B,B2
"5756",E00021772,G,G1
"5757",E00021303,B,B2
"5758",E00021384,D,D2
"5759",E00021302,B,B2
"5760",E00175269,B,B3
"5761",E00021305,E,E2
"5762",E00021387,B,B2
"5763",E00175268,B,B2
"5764",E00021779,G,G1
"5765",E00022723,F,F1
"5766",E00021382,B,B2
"5767",E00021300,E,E2
"5768",E00002753,C,C4
"5769",E00012487,C,C2
"5770",E00002752,C,C4
"5771",E00012406,C,C2
"5772",E00008761,B,B3
"5773",E00013468,B,B3
"5774",E00002755,C,C4
"5775",E00013469,E,E2
"5776",E00002754,C,C4
"5777",E00002757,H,H1
"5778",E00002756,C,C4
"5779",E00013460,D,D1
"5780",E00008765,E,E2
"5781",E00013461,B,B3
"5782",E00002751,C,C4
"5783",E00012486,A,A1
"5784",E00012407,C,C2
"5785",E00002750,C,C4
"5786",E00009652,E,E2
"5787",E00009656,E,E2
"5788",E00015615,E,E2
"5789",E00017793,G,G1
"5790",E00015694,D,D2
"5791",E00014795,F,F2
"5792",E00017629,G,G2
"5793",E00012791,F,F2
"5794",E00017712,B,B1
"5795",E00015695,B,B3
"5796",E00014796,F,F1
"5797",E00015614,E,E2
"5798",E00014717,F,F2
"5799",E00017628,G,G2
"5800",E00017794,G,G2
"5801",E00015617,E,E2
